Time_s,Temperature1_C,Temperature2_C
0.8000515,179.2,78.5
1.3975683,179.2,78.5
1.9944733,178.9,78.5
2.59042,178.9,78.5
3.1851399,178.9,78.5
3.7836579,178.9,78.5
4.3972429,178.9,78.5
4.9953002,178.9,78.5
5.5910591,179.2,78.5
6.1874051,179.2,78.5
6.7830188,179.2,78.5
7.3806806,179.5,78.5
7.9766296,179.5,78.7
8.5735165,179.9,78.5
9.1686266,179.9,78.5
9.7673796,179.9,78.7
10.3639785,179.9,78.5
10.9637972,179.9,78.7
11.55771,180.2,78.5
12.1568694,180.2,78.7
12.7522901,180.5,78.7
13.3663983,180.5,78.7
13.9643964,180.9,78.7
14.5596595,180.9,78.7
15.1554169,181.2,78.7
15.7488928,181.2,78.7
16.3470976,181.6,78.7
16.9450587,181.9,78.7
17.5413096,181.9,78.7
18.1375782,182.3,78.7
18.7318578,182.3,78.7
19.328238,182.6,78.7
19.9260271,182.6,78.7
20.5257111,183,78.7
21.1218986,183.3,78.7
21.7182452,183.3,78.7
22.3090994,183.3,78.7
22.9079555,183.7,78.7
23.5050953,183.7,78.9
24.0990976,183.7,78.9
24.6944253,184,78.7
25.2894567,184,78.7
25.8866944,184.4,78.7
26.4849681,184.7,78.7
27.0836612,184.7,78.7
27.6790732,185.1,78.7
28.2753015,185.1,78.7
28.8724635,185.1,78.7
29.4676179,185.1,78.7
30.0643745,185.1,78.7
30.6639648,185.1,78.7
31.2608726,185.5,78.7
31.8563244,185.5,78.7
32.4527697,185.5,78.7
33.0503487,185.8,78.7
33.6463089,185.8,78.7
34.2436811,185.8,78.7
34.8422699,185.8,78.9
35.439238,185.8,78.7
36.0343173,185.8,78.7
36.6341678,185.8,78.7
37.2288036,185.8,78.7
37.8285212,185.8,78.7
38.4256874,185.5,78.7
39.0248248,185.5,78.5
39.6218964,185.5,78.5
40.2191712,185.1,78.5
40.8195042,185.1,78.4
41.4436268,185.1,78.5
42.0404119,184.7,78.5
42.6367622,184.7,78.5
43.2319115,184.4,78.5
43.825948,184.4,78.5
44.4245271,184.4,78.5
45.0220436,184,78.4
45.6487338,184,78.5
46.2462806,183.7,78.5
46.841413,183.7,78.5
47.4389102,183.3,78.5
48.0380957,183.3,78.5
48.6369818,183,78.5
49.2352742,183,78.5
49.8290144,183,78.5
50.4275347,182.6,78.5
51.0265525,182.6,78.5
51.6228272,182.6,78.5
52.2168107,182.3,78.5
52.8153814,182.3,78.5
53.4286332,182.3,78.5
54.0273479,181.9,78.5
54.624334,181.9,78.5
55.2212736,181.9,78.5
55.8148601,181.9,78.5
56.4275886,181.6,78.5
57.0255503,181.2,78.5
57.620834,181.2,78.4
58.2187723,180.9,78.4
58.8149661,180.9,78.4
59.4122882,180.5,78.4
60.0266135,180.5,78.4
60.6404694,180.5,78.4
61.2384664,180.5,78.4
61.8387887,180.5,78.4
62.4369883,180.2,78.4
63.0348153,180.2,78.4
63.6294183,180.2,78.5
64.2286006,180.5,78.5
64.8394833,180.2,78.4
65.4379948,180.2,78.4
66.0364405,180.2,78.5
66.6339728,179.9,78.5
67.2303372,179.9,78.5
67.8396679,180.2,78.5
68.4390343,179.9,78.5
69.0368109,179.9,78.5
69.634786,179.5,78.5
70.2294958,179.5,78.5
70.8263202,179.5,78.5
71.4226136,179.5,78.5
72.0209831,179.2,78.5
72.6173392,179.5,78.5
73.2116602,179.5,78.5
73.8102527,179.2,78.5
74.408961,179.2,78.5
75.0068783,179.2,78.5
75.6024422,179.5,78.5
76.2013085,179.5,78.5
76.829983,179.5,78.5
77.4273252,179.5,78.5
78.0254768,179.5,78.5
78.6221522,179.5,78.5
79.2202233,179.5,78.5
79.818329,179.5,78.5
80.415097,179.5,78.5
81.0132024,179.5,78.5
81.642683,179.5,78.4
82.2388071,179.5,78.4
82.8380214,179.5,78.4
83.4331209,179.5,78.4
84.0316363,179.5,78.4
84.6290232,179.5,78.4
85.2279002,179.9,78.4
85.8261232,179.9,78.4
86.4261539,180.2,78.4
87.023296,180.2,78.4
87.6180818,180.5,78.2
88.2303137,180.5,78.2
88.8464259,180.9,78.2
89.4413899,180.9,78.2
90.0382861,181.2,78.2
90.6351331,181.6,78.2
91.2314344,181.6,78.2
91.828747,181.6,78.2
92.4254778,181.9,78.2
93.0236937,181.9,78.2
93.6216631,181.9,78.2
94.2183292,182.3,78.2
94.8155457,182.3,78.2
95.4279544,182.6,78.2
96.0264239,183,78.2
96.6245272,183,78.2
97.2227152,183.3,78.2
97.8188771,183.7,78.2
98.4170827,183.7,78.2
99.0125589,184,78.2
99.6083364,184,78.2
100.2040233,184.4,78.2
100.8003362,184.4,78.2
101.3996112,184.7,78.2
101.9939813,184.7,78.2
102.5906845,184.7,78.2
103.1883659,185.1,78.2
103.7851486,185.1,78.2
104.3842317,185.5,78.4
104.9803543,185.5,78.2
105.57652,185.5,78.4
106.1751683,185.8,78.4
106.7717586,185.8,78.4
107.37073,185.8,78.4
107.9668344,185.8,78.2
108.5616428,185.8,78.4
109.1578287,186.2,78.4
109.7694799,186.2,78.4
110.3685536,186.2,78.4
110.965907,185.8,78.4
111.5635748,186.2,78.2
112.1901279,186.2,78.2
112.8186143,186.2,78.2
113.4177263,186.2,78.1
114.029687,185.8,78.1
114.6429413,185.8,78.1
115.2383023,185.5,77.9
115.8514877,185.5,77.7
116.4643571,185.5,77.7
117.0626539,185.5,77.6
117.6751877,185.5,77.6
118.2574578,185.1,77.4
118.9030965,185.1,77.4
119.4857117,185.1,77.6
120.0852902,184.7,77.3
120.6995914,184.7,77.3
121.3282944,184.4,77.3
121.92835,184,77.1
122.5598736,184,77.1
123.186144,184,77.1
123.7978277,183.7,77.1
124.4237367,183.3,76.9
125.0206515,183,77.1
125.6148823,182.6,77.1
126.2133904,182.3,77.1
126.8405547,182.3,77.1
127.4527334,181.9,77.1
128.0472995,181.6,77.1
128.6607326,181.2,77.1
129.2598134,180.9,77.1
129.887197,180.5,77.1
130.500779,180.2,77.1
131.1094278,179.9,77.1
131.7217305,179.5,77.3
132.3196452,179.2,77.3
132.9308382,178.9,77.3
133.5283008,178.5,77.4
134.1549378,178.2,77.4
134.7357096,177.9,77.6
135.3324337,177.6,77.7
135.9269142,177.3,77.7
136.5402325,176.9,77.9
137.1527016,176.6,77.9
137.7487203,176.3,78.2
138.3611161,176,78.2
138.9880244,175.7,78.4
139.6007064,175.4,78.5
140.2317871,175.1,78.7
140.8122518,174.7,78.9
141.4071593,174.7,79
141.9944433,174.4,79.2
142.5915682,174.1,79.3
143.218432,173.8,79.5
143.8129349,173.8,79.5
144.4078343,173.5,79.8
145.0016726,173.5,80
145.6266978,173.5,80.1
146.2419968,173.5,80.3
