Time_s,Temperature1_C,Temperature2_C
0.785094,184.4,80.1
1.3979295,184.4,80.1
2.0106695,184.4,80.1
2.6064809,184.7,80.1
3.2320454,185.1,80.3
3.8291323,185.1,80.3
4.4286693,185.1,80.3
5.0220522,185.5,80.3
5.6175658,185.8,80.3
6.2132013,185.8,80.3
6.8118871,185.8,80.3
7.4104488,186.2,80.4
8.0059128,186.2,80.4
8.6048231,186.6,80.4
9.2015276,186.6,80.4
9.8023645,186.6,80.4
10.3986095,187,80.4
10.9975808,187,80.4
11.5947607,187,80.4
12.1887472,187,80.4
12.7855037,187,80.4
13.3825482,187,80.4
14.0079264,187,80.4
14.6023902,187,80.4
15.1991821,187,80.4
15.7993579,187,80.4
16.4255525,187,80.4
17.0233612,187,80.4
17.6189892,187,80.4
18.2312383,187,80.4
18.8257422,187,80.3
19.4229033,187,80.3
19.9916682,186.6,80.3
20.5892646,186.6,80.3
21.1861525,186.6,80.3
21.7827565,186.2,80.3
22.3616593,186.2,80.3
22.9615261,186.2,80.1
23.5837562,185.8,80.1
24.1814049,185.8,80.1
24.7963671,185.5,80.1
25.392231,185.1,80.1
25.9880244,185.1,80.1
26.5842667,184.7,80
27.1967404,184.7,80
27.7953691,184.7,79.8
28.3804498,184.4,79.8
28.9829412,184.4,79.8
29.5775183,184,79.6
30.1839076,184,79.6
30.786239,183.7,79.6
31.3769617,183.7,79.6
31.964616,183.7,79.6
32.5642224,183.7,79.5
33.1711856,183.7,79.5
33.7467479,183.3,79.3
34.3584853,183.3,79.3
34.9533548,183.3,79.3
35.5524179,183,79.3
36.1667158,183,79.3
36.7473701,183,79
37.3205952,182.6,79.2
37.9090669,182.6,79.2
38.5006657,182.3,79.2
39.0995856,182.3,79
39.7145127,182.3,79
40.3198193,181.9,78.9
40.919205,181.9,78.9
41.5106161,181.6,78.9
42.0956895,181.6,78.9
42.6910062,181.6,78.5
43.2945213,181.6,78.7
43.8852618,181.6,78.7
44.475085,181.6,78.5
45.0616117,181.2,78.5
45.6680226,181.2,78.5
46.2841885,180.9,78.4
46.8614569,180.9,78.4
47.4589347,180.9,78.4
48.0575502,180.5,78.2
48.6692149,180.9,78.2
49.2645553,180.5,78.2
49.8595993,180.5,78.2
50.4863788,180.2,78.2
51.0854737,180.2,78.2
51.6823136,180.5,78.2
52.2807522,180.2,78.1
52.8895094,180.2,78.1
53.5006707,180.2,78.1
54.0980967,180.2,78.1
54.695034,180.2,78.1
55.2933409,180.2,77.9
55.9091188,180.2,77.9
56.5050835,180.5,77.9
57.1027436,180.2,77.7
57.7165163,180.2,77.7
58.314697,180.2,77.6
58.8923172,180.2,77.4
59.5032998,180.2,77.4
60.1008936,180.2,77.3
60.712176,179.9,76.9
61.3098264,179.9,76.9
61.9071742,180.2,76.8
62.5332353,180.2,76.8
63.1321644,180.2,76.6
63.7298643,180.5,76.6
64.3275002,180.9,76.5
64.8982212,180.9,76.5
65.4952276,181.2,76.3
66.094996,181.2,76.3
66.692017,181.6,76.3
67.2881474,181.6,76.3
67.8992654,181.9,76.1
68.4957858,181.9,76.1
69.0898827,181.9,76.3
69.6849641,181.9,76.3
70.2646342,181.9,76.3
70.8578192,181.9,76.3
71.4536308,181.6,76.3
72.0830868,181.6,76.3
