Time_s,Top_C,Bottom_C,Capplate_C,Cylinder_C,Thermalbridge_C,Baseplate_C
0.4369742,23.5,23.5,23.5,22.9,24,23.5
1.3184122,23.5,23.5,23.5,24,23.5,23.5
1.9409285,22.4,24.5,23.5,24,24,23.5
2.5815429,23.5,23.5,23.5,23.5,23.5,22.9
3.1768498,22.9,23.5,23.5,22.9,22.9,23.5
3.8108664,23.5,23.5,23.5,23.5,24,23.5
4.3859647,22.9,23.5,23.5,23.5,23.5,23.5
5.0131591,23.5,24,23.5,24,24,22.9
5.6665754,22.9,24,23.5,24,23.5,24
6.2414092,23.5,23.5,24,24,22.9,22.9
6.8459303,23.5,23.5,22.9,23.5,23.5,22.9
7.4513187,23.5,23.5,23.5,23.5,24,24
8.0703297,23.5,24,23.5,24,24,23.5
8.6733044,23.5,23.5,22.9,23.5,22.9,23.5
9.2637553,23.5,24,23.5,24,23.5,22.9
9.9660866,23.5,24,23.5,22.9,23.5,23.5
10.5821711,22.4,24,23.5,24,23.5,22.4
11.1610854,23.5,24,23.5,23.5,23.5,24.5
11.7802904,23.5,23.5,22.4,22.9,23.5,23.5
12.3992537,24,23.5,23.5,23.5,23.5,22.9
13.0061695,23.5,23.5,23.5,24.5,22.9,22.9
13.6251615,22.9,24,23.5,24,24,23.5
14.2534171,24,24,23.5,24,23.5,23.5
14.851215,22.9,24,23.5,23.5,24,23.5
15.4696657,23.5,24,23.5,24,23.5,23.5
16.0788593,24.5,24.5,23.5,24,24,23.5
16.6682087,24,23.5,23.5,23.5,23.5,22.4
17.255418,23.5,24.5,24,24.5,23.5,23.5
17.8799669,23.5,24,23.5,24,23.5,24
18.4711646,25,23.5,23.5,22.9,24,22.4
19.0828835,24.5,24.5,23.5,24,23.5,22.4
19.7014079,25,24.5,23.5,24,23.5,23.5
20.3197047,25,24.5,23.5,24,24,23.5
20.9312582,25,25,23.5,24,23.5,22.4
21.5223337,25.5,25,23.5,23.5,22.4,23.5
22.1477008,25.5,25,23.5,24,23.5,23.5
22.7587466,25,25.5,23.5,24,24,23.5
23.3701434,26,25.5,23.5,24,24,23.5
23.9891198,26.5,25.5,23.5,24,24,23.5
24.6076143,26.5,25.5,23.5,23.5,22.9,23.5
25.2189778,26.5,25.5,23.5,23.5,24.5,22.9
25.8371102,27,25.5,22.9,24,23.5,22.9
26.4489801,27.5,26,24,23.5,23.5,22.4
27.0808297,26.5,26.5,23.5,24,22.4,23.5
27.6923599,28,26.5,23.5,24,24,23.5
28.2969122,28,26.5,22.9,23.5,23.5,23.5
28.9155573,28,26.5,23.5,23.5,24,23.5
29.5270777,28.4,27,23.5,24,23.5,23.5
30.1315949,28.4,27,23.5,23.5,24,23.5
30.7501554,28.4,27,23.5,24,24,23.5
31.3265356,29.8,28,22.9,23.5,24,22.9
31.937984,29.8,28.4,23.5,24,23.5,23.5
32.5573678,30.2,28,23.5,24,23.5,22.4
33.1472185,30.2,28.4,23.5,24,23.5,23.5
33.7587532,30.2,28.4,22.9,24,24,23.5
34.3705044,31.1,28.9,23.5,23.5,23.5,23.5
34.9815801,31.1,28.9,22.9,24,24,23.5
35.6003076,31.5,29.3,22.9,23.5,22.9,22.9
36.2261951,31.5,29.3,23.5,24,23.5,23.5
36.8514922,32.3,29.8,23.5,24,23.5,22.4
37.4832091,32.7,29.8,23.5,24,23.5,23.5
38.0886027,32.7,30.2,22.9,24,23.5,21.8
38.7208344,32.7,30.2,23.5,24,23.5,22.9
39.3455272,33.1,30.2,22.9,23.5,23.5,21.8
39.9500101,33.9,30.6,23.5,24,23.5,21.8
40.5688286,33.9,31.1,23.5,24,23.5,23.5
41.1873882,33.5,31.1,23.5,24,23.5,22.9
41.8123052,34.3,31.5,23.5,24,23.5,22.9
42.4310233,34.7,31.5,23.5,24,23.5,22.4
43.0356388,34.7,31.9,22.9,24,22.4,23.5
43.6467571,35.4,31.9,23.5,24,24,23.5
44.2660051,35.4,32.3,23.5,24,23.5,22.9
44.8908384,35.8,32.3,23.5,24,22.9,23.5
45.5027836,36.1,32.7,23.5,24,24,23.5
46.1359789,36.5,33.1,23.5,24,24,23.5
46.7529078,37.2,33.1,24.5,24,23.5,23.5
47.3643416,36.8,33.5,23.5,24,23.5,23.5
47.9691572,37.2,33.5,23.5,23.5,23.5,23.5
48.5879227,37.2,33.5,22.9,24,23.5,22.9
49.1988024,37.9,33.9,23.5,24,24,23.5
49.8110192,37.9,34.3,23.5,24,24,23.5
50.429836,38.2,34.3,23.5,23.5,23.5,22.9
51.0545349,38.6,34.7,23.5,24,24,24
51.6865823,38.6,34.3,22.9,24,23.5,22.4
52.2920798,38.9,34.7,22.9,24,24,22.4
52.9166643,39.6,35.4,23.5,24,24,23.5
53.5281237,39.6,35.4,23.5,23.5,23.5,22.9
54.147818,39.6,35.8,22.9,23.5,23.5,23.5
54.7863116,40.2,36.1,23.5,24,24,24
55.4043305,40.5,36.1,22.4,23.5,24.5,21.8
55.9812465,40.9,36.1,22.4,24,23.5,22.4
56.585709,41.2,36.5,24,24,24,24
57.1970148,41.8,36.8,23.5,24,24,22.9
57.8153275,41.8,36.8,23.5,24,24,23.5
58.4338196,42.1,36.8,23.5,24,22.9,23.5
59.0455139,42.1,37.2,23.5,24,24,24
59.6711478,42.4,37.5,22.9,24,22.9,22.4
60.2822236,42.7,37.9,23.5,23.5,22.9,22.9
60.8868654,43,37.9,23.5,24,24,23.5
61.5060924,43.3,37.9,23.5,24,24,23.5
62.1112761,43.3,38.2,23.5,24,24,24
62.7358354,43.9,38.2,24,24,24,23.5
63.3747856,44.5,38.6,23.5,24,24,22.9
63.9931136,44.5,38.9,23.5,24,24,22.9
64.6045664,44.8,39.2,23.5,24,24.5,22.9
65.2097043,45.1,39.6,24,24,24,23.5
65.8065388,45.3,39.6,23.5,24,24,23.5
66.4320562,45.6,39.2,23.5,24,24,23.5
67.0434177,45.9,39.6,23.5,24,24,23.5
67.6481434,46.2,40.2,23.5,24,24,23.5
68.2666302,46.5,40.2,22.9,24,24,23.5
68.8923757,46.7,40.2,22.9,24,24,23.5
69.4973642,47,40.9,23.5,24,24,23.5
70.1289073,47.3,41.2,22.9,24.5,24.5,23.5
70.7628912,47.3,41.2,23.5,24,24,23.5
71.3869012,47.5,41.2,23.5,24,24,23.5
71.991051,47.8,41.5,24,24.5,24,24
72.6032578,48.3,41.8,23.5,24,24,23.5
73.2280375,48.3,41.8,22.9,23.5,24.5,22.4
73.8464475,48.9,41.8,22.9,23.5,25,24
74.4508879,49.1,42.1,23.5,24,24.5,23.5
75.0623709,49.1,42.1,23.5,24,24.5,24
75.6884593,49.4,42.4,22.9,23.5,24,22.9
76.362296,50.1,43,23.5,24,24.5,22.9
76.9941469,50.6,43,23.5,24,24.5,21.8
77.6058978,50.6,43.3,22.9,23.5,24.5,23.5
78.1826176,50.9,43.3,23.5,23.5,24,22.9
78.8015853,51.4,43.6,22.9,24,24.5,22.9
79.4401702,51.4,43.9,23.5,23.5,24.5,24
80.0654898,51.9,44.2,23.5,24,24.5,23.5
80.6840864,51.9,44.2,23.5,24,24.5,23.5
81.2962617,52.3,44.5,23.5,24,23.5,23.5
81.9288051,52.3,44.5,23.5,24,24,22.4
82.5676078,52.8,44.8,23.5,24.5,24.5,22.9
83.1790249,52.8,45.1,22.9,24,24.5,23.5
83.7903368,53.3,45.1,23.5,24,24.5,23.5
84.4085598,53.5,45.3,23.5,24,24.5,23.5
85.0129358,53.8,45.6,22.9,24,24.5,24
85.6249899,54.2,45.6,23.5,24,24.5,22.4
86.251662,54.4,45.9,23.5,24,24.5,23.5
86.8825716,54.7,46.5,23.5,24,24.5,23.5
87.5085437,55.1,46.2,22.9,24,24.5,23.5
88.1263734,55.1,46.5,23.5,24,24,23.5
88.744654,55.4,46.7,23.5,24,24.5,24
89.362971,55.6,47,23.5,24.5,24.5,23.5
89.9747488,56,47,23.5,24,24.5,23.5
90.5931676,56.2,47,24,24,25,23.5
91.2260841,56.9,47.5,23.5,24,25,22.4
91.862662,56.9,47.8,23.5,24,24.5,22.9
92.4901039,56.7,47.8,23.5,24,24.5,23.5
93.087694,57.3,48.1,23.5,24,24.5,23.5
93.699273,57.8,48.3,23.5,24,24.5,24
94.3176624,58.2,48.6,23.5,24,24.5,22.9
94.9432328,58,48.6,23.5,24,25,24
95.5545635,58.4,48.9,23.5,24,25,22.9
96.1730733,58.6,49.1,23.5,24.5,25,24
96.8467522,59,49.4,23.5,24.5,25,22.4
97.4653674,59.5,49.4,23.5,24,25,24
98.0767839,59.7,49.9,23.5,24.5,25,22.4
98.7021438,59.9,49.9,22.9,24,25,22.4
99.3275854,60.1,50.1,23.5,24,25,23.5
99.9279455,60.3,50.1,23.5,24,24.5,24
100.543591,60.5,50.4,23.5,24,25.5,24
101.1679666,60.7,50.6,23.5,24.5,25,23.5
101.7945613,60.9,50.6,23.5,24,25,23.5
102.405941,61.3,50.9,23.5,23.5,24.5,24
103.0132462,61.3,51.1,22.9,24,24.5,23.5
103.629204,61.5,51.1,23.5,24.5,25.5,24
104.2476994,61.9,51.6,23.5,24.5,25,23.5
104.8660309,62.1,51.6,23.5,24.5,25.5,23.5
105.4780739,62.5,51.9,23.5,24,25.5,22.9
106.0958784,62.5,51.9,22.9,23.5,25.5,23.5
106.7153307,62.9,52.1,23.5,24,25.5,23.5
107.3325899,63.3,52.3,23.5,24.5,25.5,24
107.9515429,63.5,52.3,23.5,24.5,25.5,23.5
108.5768232,63.6,52.6,23.5,24,25.5,23.5
109.1880661,64,52.6,23.5,24.5,25.5,23.5
109.8066745,64.2,53.1,23.5,24,25.5,23.5
110.4331042,64.4,53.1,23.5,24,25.5,24
111.071061,64.8,53.3,23.5,24,26,24
111.6760738,65,53.3,23.5,24,26,22.9
112.3010047,65.2,53.5,23.5,24.5,26,23.5
112.9054699,65.5,53.8,23.5,24.5,26.5,24
113.5310205,65.9,54,22.9,24.5,26,23.5
114.1354545,65.9,54,23.5,24.5,26.5,24
114.7469944,66.3,54.2,23.5,24,26,23.5
115.359126,66.7,54.4,23.5,24.5,26,22.9
115.9776579,66.7,54.7,23.5,24.5,26.5,22.4
116.6027209,67,54.7,23.5,24.5,26.5,23.5
117.2912918,67.2,54.9,23.5,24.5,26.5,23.5
117.9364505,67.2,54.9,22.4,24.5,26.5,22.9
118.5413956,67.8,55.4,22.9,24.5,27,22.4
119.1595356,68.1,55.6,23.5,24.5,26.5,23.5
119.77783,68.3,55.4,23.5,24.5,27,24
120.397271,68.7,55.8,22.9,24.5,27,23.5
121.0285317,68.7,56,23.5,24.5,27,23.5
121.6333111,69.2,56,23.5,24.5,27.5,22.9
122.2524378,69.4,56.2,23.5,25,27.5,23.5
122.8850662,69.5,56.5,23.5,25,27.5,24
123.5234348,69.9,56.9,22.9,24,27.5,23.5
124.1418172,70.1,56.7,23.5,25,27.5,24
124.7532412,70.4,56.9,23.5,25,28,24
125.380937,70.8,56.9,23.5,24.5,27.5,22.9
125.9831822,70.6,57.1,24,24.5,27.5,23.5
126.5954137,71.1,57.6,23.5,24.5,27.5,24
127.2200787,71.5,57.6,23.5,24.5,28,24
127.8387724,71.6,57.8,23.5,24.5,28,23.5
128.4715228,71.8,57.8,23.5,24.5,28.4,23.5
129.1031558,72,58.2,23.5,25,28,22.4
129.7149018,72.3,58.4,23.5,25,28,24
130.3487339,72.6,58.4,23.5,24.5,28.4,22.9
130.9723959,73,58.6,23.5,25,28.4,24
131.5919858,73.2,58.8,22.9,25,28.4,22.9
132.1887324,73.3,59.2,24,25.5,28.4,23.5
132.7705975,73.7,59.2,23.5,25,28.4,23.5
133.3835775,74,59.2,22.9,24.5,28.4,23.5
133.9953895,74.2,59.5,24,24.5,28.4,23.5
134.599766,74.7,59.7,23.5,24,28.4,23.5
135.20413,74.7,59.9,23.5,24,29.8,22.9
135.8021841,75,60.1,23.5,25,28.9,24
136.4136619,75.3,60.3,23.5,24.5,28.9,22.9
137.0320317,75.5,60.5,23.5,25,28.9,24
137.6431948,75.8,60.5,23.5,25,28.9,24
138.2616566,76.1,60.5,23.5,24.5,28.9,22.9
138.8732728,76.3,60.9,23.5,25,28.9,24
139.4917021,76.8,61.1,23.5,25,29.3,24
140.1030769,76.8,61.3,23.5,25,29.3,24
140.7155664,76.9,61.3,23.5,25,29.3,24
141.3333881,77.3,61.7,24,25,29.3,24
141.9589935,77.4,61.7,23.5,25,29.3,23.5
142.5914045,77.7,61.9,23.5,25,29.3,24
143.2302619,77.9,61.9,23.5,24.5,29.3,22.9
143.8493237,78.2,62.3,23.5,24.5,28.9,22.9
144.4669415,78.2,62.3,23.5,24.5,28.9,24
145.0785204,78.5,62.5,23.5,24.5,28.9,24
145.6909782,78.5,62.7,23.5,24,28.9,22.4
146.336161,78.9,62.9,23.5,24.5,28.9,22.4
146.94777,79,62.9,23.5,24.5,28.9,24
147.5662451,79.3,63.3,23.5,24.5,28.4,24
148.1847541,79.5,63.3,22.9,24,28.4,24
148.803421,79.8,63.5,24,24.5,28.9,24
149.4079189,80.1,63.6,24,24.5,28.9,24
150.0332008,80.3,63.8,23.5,24.5,29.3,24
150.6445401,80.4,63.8,24,24.5,29.3,24
151.2573037,80.7,64,23.5,24.5,29.3,23.5
151.8976648,81,64.2,23.5,24.5,29.3,24
152.5139612,81.4,64.4,23.5,24.5,29.3,24
153.1321491,81.5,64.6,23.5,24.5,29.3,24
153.7439151,81.8,64.6,23.5,24.5,29.3,22.9
154.3555784,82.1,65,23.5,25,29.8,24
154.966887,82.4,65.2,23.5,25,29.8,24
155.5923527,82.6,65.2,22.9,25,29.8,23.5
156.2035063,82.7,65.4,23.5,24.5,29.8,23.5
156.8224521,82.9,65.2,22.9,24.5,29.3,22.9
157.4472623,83.4,65.7,23.5,25,29.8,24
158.0520794,83.5,65.5,24,24.5,29.8,24
158.67753,83.8,66.1,23.5,25,30.2,22.9
159.2824075,84,66.1,23.5,24.5,29.8,24
159.9003866,84.1,66.3,24,24.5,30.2,24
160.526419,84.4,66.5,23.5,25,30.2,24
161.1231057,84.7,66.7,23.5,24.5,29.8,24
161.7417168,84.7,66.5,23.5,24.5,30.2,23.5
162.3536194,85,67,23.5,24.5,30.2,24
162.9724506,85.5,67,23.5,24.5,30.2,23.5
163.5831978,85.6,67.2,23.5,24.5,30.2,24
164.1950298,85.9,67.4,23.5,25,30.2,24.5
164.7997057,86.2,67.6,23.5,24,29.8,24
165.4334986,86.5,67.8,23.5,24.5,30.2,24
166.0499168,87,67.9,23.5,25,30.2,24
166.6754105,87.1,68.1,23.5,25,30.6,24
167.3012888,87.4,68.1,23.5,25,30.6,23.5
167.9269235,87.6,68.5,23.5,25,31.1,22.9
168.5102648,87.9,68.5,24,25,31.1,22.9
169.1421514,88,68.5,24,24.5,31.1,24
169.7684363,88.3,68.8,23.5,25,31.5,23.5
170.4069437,88.6,69,23.5,25,31.5,24
171.0254519,88.7,69,23.5,25.5,31.9,22.9
171.6377563,89.2,69.2,23.5,25.5,31.9,24
172.2630292,89.5,69.4,23.5,25.5,32.3,24
172.8877731,89.6,69.5,23.5,25.5,32.3,23.5
