Time_s,Top_C,Bottom_C,Capplate_C,Cylinder_C,Thermalbridge_C,Baseplate_C
0.3465077,21.8,22.4,22.4,22.9,22.9,22.9
1.0150466,22.4,22.4,22.4,22.9,22.4,22.4
1.6458151,21.8,22.4,22.9,22.9,22.9,22.4
2.274685,22.4,22.4,22.4,22.9,22.9,22.4
2.8802896,21.8,22.4,22.9,22.4,22.4,22.4
3.5036936,21.8,22.4,22.4,22.9,22.9,22.4
4.1102952,22.4,22.4,22.4,22.9,22.9,22.4
4.7345436,22.4,22.4,22.4,22.9,22.9,22.4
5.3753942,22.4,22.4,22.4,22.9,22.9,22.4
5.9809774,22.4,22.4,22.4,22.9,22.9,22.4
6.646221,22.4,22.4,22.4,22.9,22.9,22.4
7.2351925,21.8,22.4,22.9,22.9,22.9,22.4
7.840188,22.4,22.4,22.4,22.9,22.9,22.4
8.4546341,21.8,22.4,22.4,22.9,22.9,22.4
9.0353281,22.4,22.4,22.9,22.4,22.9,22.4
9.6483269,22.4,22.4,22.4,22.9,22.9,22.4
10.2770716,21.8,22.4,22.9,22.9,22.4,22.4
10.8885218,22.4,22.4,22.4,22.9,22.9,22.4
11.4838401,22.9,22.4,22.4,22.9,22.9,22.4
12.1164843,22.4,22.4,22.4,22.4,22.9,22.4
12.727118,22.4,22.4,22.4,22.9,22.4,22.4
13.3177962,22.4,22.4,22.4,22.9,22.9,22.4
13.9345999,22.9,22.4,22.4,22.9,22.9,22.4
14.5409823,22.9,22.9,22.4,22.9,22.9,22.4
15.1473748,22.9,22.4,22.4,22.4,22.9,22.4
15.7642459,23.5,22.9,22.9,22.4,22.9,22.4
16.3798968,24,22.9,22.4,22.9,22.9,22.4
16.9786658,24,22.9,22.4,22.9,22.9,22.4
17.5746703,24.5,22.9,22.4,22.4,22.9,22.4
18.1636769,24.5,22.9,22.9,22.9,22.9,22.4
18.8026306,25.5,22.9,22.4,22.9,22.9,22.4
19.4136081,25.5,23.5,22.4,22.9,22.9,22.4
20.0328261,26.5,23.5,22.4,22.9,22.9,22.4
20.634649,26.5,23.5,22.4,22.9,22.9,22.4
21.2334126,27,24,22.4,22.9,22.9,22.9
21.8183817,28,24,22.4,22.4,22.9,22.4
22.4132119,28,24,22.9,22.4,22.9,22.4
23.0549156,28.4,24.5,22.4,22.9,22.4,22.4
23.6697882,28.9,24.5,22.4,22.4,22.9,22.4
24.2779208,29.3,24.5,22.4,22.4,22.9,22.4
24.905042,30.2,24.5,22.4,22.9,22.9,22.4
25.5175681,31.1,25,22.4,22.9,22.9,22.9
26.1234654,31.1,25,22.9,22.9,22.9,22.4
26.7034607,31.9,25,22.4,22.4,22.4,22.4
27.3171276,32.3,25.5,22.4,22.9,22.9,22.4
27.951969,32.7,25.5,22.4,22.4,22.9,22.4
28.5448025,33.9,26,22.4,22.4,22.9,22.4
29.1654488,34.3,26,22.4,22.9,22.9,22.4
29.7723635,34.7,26.5,22.4,22.9,22.9,22.4
30.3953144,35.4,26.5,22.4,22.9,22.9,22.4
31.0118902,35.8,26.5,22.4,22.4,22.9,22.4
31.6070627,36.5,27,22.4,22.9,22.9,22.4
32.2374958,36.8,27,22.4,22.9,22.9,22.4
32.8569353,37.5,27.5,22.4,22.9,22.9,22.4
33.4343199,37.9,27.5,22.4,22.9,22.9,22.4
34.0379308,38.6,28,22.4,22.9,22.9,22.4
34.6398246,39.6,28,22.9,22.9,22.9,22.4
35.2443278,39.6,28.4,22.4,22.9,22.9,22.4
35.8387169,40.2,28,22.4,22.4,22.9,22.4
36.4508658,40.9,28.4,22.4,22.9,22.9,22.4
37.0808216,41.5,28.9,22.9,22.9,22.9,22.4
37.6814924,42.1,28.9,22.4,22.9,22.9,22.4
38.2925077,42.7,29.3,22.4,22.9,22.9,22.4
38.9081665,43.3,29.8,22.9,22.4,22.9,22.9
39.5385351,43.9,29.8,22.4,22.9,22.9,22.4
40.1351271,44.5,29.8,22.4,22.4,22.9,22.4
40.7281031,44.8,30.2,22.4,22.4,22.9,22.4
41.3346132,45.3,30.2,22.4,22.4,22.9,22.4
41.9569055,46.2,30.6,22.4,22.9,22.9,22.4
42.5917974,46.7,31.1,22.4,22.9,22.9,22.4
43.2223021,47.3,31.1,22.4,22.9,23.5,22.4
43.8183929,47.8,31.1,22.4,22.9,22.9,22.9
44.3971504,48.3,31.5,22.4,22.9,22.9,22.4
45.0257589,48.9,31.5,22.4,22.9,22.9,22.4
45.6376238,49.6,31.9,22.4,22.9,22.9,22.4
46.2699541,50.1,32.3,22.4,22.9,22.9,22.4
46.8947601,50.6,32.3,22.4,22.9,22.9,22.4
