Time_s,Top_C,Bottom_C,Capplate_C,Cylinder_C,Thermalbridge_C,Baseplate_C
0.3969725,25.5,24,24.5,25,25,23.5
1.0109821,25.5,24,24.5,25,25,22.9
1.6056277,25.5,24,25,25,25,22.9
2.2021841,26,24,24.5,25,25,22.9
2.8023394,25.5,24,25,25,25,22.9
3.3989994,26,24,24.5,25,25,22.9
4.0273816,26,24,24.5,25,25,22.9
4.6204434,25.5,24,24.5,25,25,23.5
5.2204488,25.5,24,25,25,25,22.9
5.8469223,25.5,24,25,25,25,22.9
6.4427959,25.5,24,24.5,25,25,22.9
7.0356135,26,24,24.5,25,24.5,22.9
7.6336443,26,24,24.5,25,25,23.5
8.2337918,25.5,24,24.5,25,25,23.5
8.8280058,26,24,24.5,25,25,23.5
9.492431,26,24,24.5,25,25,22.9
10.0862322,26,24,25,25,25,22.9
10.6834718,26,24,25,25,25,22.9
11.2795165,26.5,24,24.5,25,25,22.9
11.8760714,26.5,24,24.5,25,25,22.9
12.470462,26.5,24,24.5,25,25,22.9
13.0677517,27,24.5,24.5,25,25,22.9
13.6652476,27.5,24.5,24.5,25,25,23.5
14.2635969,27.5,24.5,24.5,25,25,22.9
14.8606932,28.4,24.5,24.5,25,25,22.9
15.4575528,28.9,24.5,24.5,25,25,22.9
16.0541566,28.9,24.5,24.5,25,25,22.9
16.6479567,29.3,25,24.5,25,25,23.5
17.2449663,30.2,25,24.5,24.5,25,22.9
17.8444463,30.2,25,24.5,25,25,23.5
18.4399695,30.6,25.5,24.5,25,25,22.9
19.0706049,31.5,25.5,24.5,25,25,22.9
19.7275216,31.9,25.5,24.5,25,25,22.9
20.3104224,32.3,26,24.5,24.5,25.5,22.9
20.9370391,32.7,26,24.5,25,25,22.9
21.533914,32.3,24.5,24.5,25,25,22.9
22.1331816,33.9,26,24.5,25,25,23.5
22.7272795,34.3,26.5,24.5,25,25,23.5
23.322524,35,26.5,24.5,25,25.5,22.9
23.918299,35.4,25.5,24.5,25,25.5,22.9
24.5129514,35.8,27,24.5,25,25,22.9
25.1074954,36.5,27,25,25,25,22.9
25.7257368,37.2,27,24.5,25,25,23.5
26.3163867,37.5,27.5,24.5,25,25,22.9
26.9499374,38.2,28,24.5,25,25,22.9
27.5430345,38.6,28,24.5,25,25,22.9
28.1416721,39.6,28,24.5,25,25,22.9
28.7219507,39.9,28.4,24.5,25,25,22.9
29.318222,40.5,28.4,24.5,25,25,22.9
29.9040032,41.2,28.9,24.5,25,25,22.9
30.5119639,41.5,28.9,24.5,25,25,22.9
31.1143604,42.1,29.3,24.5,25,25,22.9
31.7081105,42.4,28.4,24,23.5,24.5,22.9
32.3091942,43.3,29.3,24.5,25,25,22.9
32.8969648,43.9,29.8,24.5,24.5,25.5,23.5
33.4890811,44.5,29.8,24.5,25,24.5,23.5
34.1166673,45.1,30.2,24.5,25,25,23.5
34.7063189,45.6,30.2,24.5,25,25.5,23.5
35.2939711,46.5,30.6,24,24.5,25,22.4
35.8756733,46.7,30.6,24.5,25,25.5,22.9
36.4688787,47.3,31.1,24.5,25,25.5,22.9
37.0582817,47.8,31.1,24.5,25,25.5,22.9
37.6471697,48.3,31.5,24.5,25,25.5,22.9
38.2319411,48.9,31.5,24.5,25,25.5,22.9
38.8516754,49.6,31.9,24.5,25,25.5,22.9
39.4429899,50.1,31.9,24.5,25,25.5,22.9
40.0975518,50.6,32.3,24.5,25,25.5,22.9
40.7152379,51.1,32.3,24.5,25.5,25.5,23.5
41.3185444,51.9,32.7,24.5,25,25.5,22.9
41.939333,52.3,32.7,25,25,25.5,22.9
42.5381116,53.1,33.1,24.5,25,25.5,22.9
43.1528982,53.5,33.1,24.5,25,26,22.9
43.7695137,54,33.5,24.5,25.5,26,23.5
44.3496898,54.4,33.5,24.5,25,26,22.9
44.9908177,55.1,33.9,24.5,25,26,22.9
45.6419887,55.6,33.9,24.5,25,26,22.9
46.2412793,56.2,34.3,24.5,25,26,22.9
46.8445344,56.9,34.3,24.5,25,26,22.9
47.451736,57.3,34.7,24.5,25,26,22.9
48.0614972,58,34.7,24.5,25,26,22.9
48.6653266,58.6,35,24,25,26.5,22.9
49.2672864,59.2,35.4,24.5,25,26,22.9
49.864338,59.7,35.4,24.5,25,26.5,22.9
50.4624025,60.3,35.8,24.5,25,26.5,22.9
51.1084134,60.7,35.8,25,25,26.5,22.9
51.7019982,61.3,36.1,24.5,25,26.5,22.9
52.2999135,61.9,36.1,24.5,25,26.5,22.9
52.8954655,62.5,36.5,24.5,25,26.5,22.9
53.4928761,62.9,36.5,24.5,25,26.5,22.9
