Time_s,Top_C,Bottom_C,Capplate_C,Cylinder_C,Thermalbridge_C,Baseplate_C
0.3544927,27,27,28,28.9,27.5,27
0.9617155,27,26.5,28,28.9,27.5,27.5
1.5564743,27,26.5,28,28.9,27,27.5
2.1519924,27,26.5,28,28.4,27,27.5
2.7804182,27,26.5,28,28.4,27,27.5
3.3781953,27,27,28.4,28.4,27,27.5
4.0081225,27,27,28,28.9,27.5,27.5
4.6336414,27,26.5,28,28.4,27.5,27.5
5.233562,27,26.5,28,28.9,27,27.5
5.8254998,27,26.5,28,28.9,27.5,27.5
6.4243114,27,26.5,28,28.4,27.5,27.5
7.0367998,27.5,26.5,28,28.4,27.5,27.5
7.631954,27,26.5,28,28.4,27.5,27
8.2295565,27,26.5,28,28.4,27,27.5
8.8435297,27,26.5,28,28.4,27,27.5
9.4447434,27,26.5,28,28.4,27,27.5
10.0420783,27,26.5,28,28.4,27.5,27.5
10.638777,27,26.5,28,28.4,27,27.5
11.2332144,27,26.5,28,28.4,27.5,27.5
11.8281217,27,26.5,28,28.9,27,27.5
12.4284666,27,26.5,28,28.4,27,27.5
13.024585,27.5,27,28,28.9,27,27.5
13.620899,27.5,27,28,28.9,27,27
14.2184707,27.5,27,28,28.9,27,27
14.8503212,28,27,28,28.9,27,27
15.4453015,27.5,27,28,28.4,27,27
16.0424795,28,27,28,28.9,27,27.5
16.6542057,28.4,27,28,28.4,27,27.5
17.2683876,28.4,27,28,28.4,27,27.5
17.8957553,28.9,27.5,28,28.4,27,27.5
18.4918365,29.3,27.5,27.5,28.4,27,27.5
19.089353,29.8,27.5,28,28.4,27,27.5
19.6882239,30.2,27.5,28,28.4,27,27
20.2878333,30.6,28,28,28.4,27,27
20.8801088,31.1,28,27.5,28.4,27,27
21.4812361,31.5,28,28,28.4,27,27
22.0753378,31.9,28,27.5,28,27,27
22.6743041,32.3,28.4,27.5,28.4,27.5,27.5
23.2737158,32.7,28.4,28,28.4,27.5,27.5
23.9008704,33.1,28.9,28.4,28.4,27.5,27.5
24.4956224,33.5,28.4,27.5,28.4,27,27
25.0915206,34.3,29.3,28,28.9,27.5,27.5
25.7063594,34.7,29.3,28,28.4,27.5,27
26.3047358,35.4,29.3,28,28.4,27.5,27
26.8996103,35.8,29.8,28,28.4,27.5,27.5
27.4961865,36.5,29.8,28,28.4,27.5,27.5
28.0938783,36.8,29.8,28,28.4,27.5,27.5
28.7085177,37.2,30.2,28,28.4,27,27.5
29.3065732,37.9,30.2,28,28.4,27,27
29.9034263,38.6,30.6,28,28.4,27,27.5
30.5014641,38.9,30.6,28,28.4,27,27
31.0966673,39.2,31.1,28,28.4,27,27
31.696367,39.9,31.1,28,28.4,27,27.5
32.2905924,40.5,31.5,28,28.4,27,27
32.8855884,40.9,31.5,27.5,28.4,27,27.5
33.4834949,41.8,31.5,27.5,28.4,26.5,27.5
34.0986406,41.8,31.9,28,28.4,27,27
34.6992986,43,32.3,28,28.4,27,27
35.3435902,43.6,32.3,28,28.4,27,27
35.9368824,43.9,32.7,28,28.4,27,27.5
36.5345224,44.5,33.1,28,28.4,27,27
37.1289007,45.1,33.1,28.4,28.4,27.5,27.5
37.7255468,45.6,33.1,28,28.4,27.5,27.5
38.3211339,46.2,33.5,28,28.4,27.5,27
38.92007,46.7,33.9,28,28.4,27.5,27
39.5175022,47.3,33.9,28,28.4,27.5,27
40.1114433,47.8,34.3,28,28.9,27.5,27.5
40.7078806,48.3,34.3,27.5,28.4,27.5,27.5
41.305344,48.9,34.7,28,28.9,28,27.5
41.9018006,49.4,34.7,28,28.9,28,27.5
42.4953909,49.9,35,27.5,28.9,28,27
43.0924998,50.6,35,27.5,28.9,28,27
43.6932222,51.1,35.4,28,28.9,28.4,27
44.2909806,51.6,35.8,28,28.9,28.4,27
44.8878834,52.1,35.8,27.5,29.3,28.4,27.5
45.4844859,52.6,36.1,28,29.3,28.9,27
46.0789072,53.1,36.1,27.5,29.3,28.9,27
46.6740404,53.8,36.5,28,29.3,28.9,27
47.2739179,54.4,36.5,28,29.3,28.9,27
47.8731906,54.9,36.8,28,29.3,29.3,27.5
48.4981901,55.4,37.2,28,28.9,28.9,27
49.0943724,56,37.2,28,29.3,29.3,27.5
49.6932158,56.5,37.5,28,29.3,29.3,27.5
50.3171307,56.9,37.9,28,29.3,29.8,27
50.914005,57.6,37.9,28,28.9,29.3,27
51.5100233,58,38.2,28,29.3,29.8,27
52.1072149,58.4,38.2,27.5,28.9,29.8,27
52.7085901,59.2,38.6,27.5,28.9,29.3,27
53.3048327,59.7,38.2,28,28.9,29.8,27
53.9023677,60.1,38.9,27.5,28.9,29.3,27
54.4976287,60.7,38.9,27.5,28.9,29.3,27
55.0941253,61.1,39.2,27.5,28.9,29.3,27
55.695414,61.7,39.6,27.5,28.9,29.3,27
56.293677,62.3,39.6,27.5,28.9,29.3,27
56.8905531,62.7,39.9,27.5,28.9,29.3,27
57.4843423,63.1,39.9,27.5,28.4,29.3,27
58.0845542,63.6,40.2,27.5,28.9,29.3,27
58.6802151,64.2,40.5,27.5,28.4,29.3,27
59.2758939,64.6,40.5,27.5,28.9,29.8,27
59.8753492,65.2,40.9,28,28.4,29.8,27
60.4741938,65.7,41.2,28,28.9,29.8,27
61.0686437,66.3,41.2,27.5,28.4,29.8,27
61.6654419,66.8,41.5,27.5,28.9,30.2,27
