Time_s,Top_C,Bottom_C,Capplate_C,Cylinder_C,Thermalbridge_C,Baseplate_C
0.0652079,27.5,28.4,28,29.8,27.5,26
0.6823797,27.5,28.4,28.4,29.3,28.4,26.5
1.2700057,27.5,28.9,28.4,29.3,28.4,26.5
1.8675209,27,28.4,28.9,29.3,28.4,26.5
2.480906,27.5,28.9,28.4,29.3,28.4,26.5
3.0871795,27.5,28.9,28.9,29.3,28.4,26.5
3.6965335,27,28.4,28.4,29.3,28,27
4.2948943,27.5,28.4,28.4,28.9,28.4,26.5
4.8817141,27.5,28.4,28.4,29.3,28.4,26.5
5.5072593,27.5,28.4,28.4,29.3,28.4,26.5
6.1271046,27.5,28.4,28.4,29.3,28.4,26.5
6.7120655,27,28.9,28.4,29.3,28.4,26.5
7.3104569,27,28.4,28.4,29.3,28.4,26.5
7.913213,27,28.4,28.4,28.9,28,26.5
8.5507992,27,28.4,28.4,29.3,28.4,26.5
9.168187,27,28.4,28.4,29.3,28.4,26.5
9.7732445,27.5,28.4,28.4,29.3,28.4,26.5
10.40023,27.5,28.4,28.4,29.3,28.4,26.5
11.0459395,28,28.4,28.4,29.3,28.4,26.5
11.65493,28,28.4,28.4,29.3,28.4,26.5
12.2633508,28,28.9,28.4,29.3,28.4,26.5
12.8811383,28.4,28.9,28.4,29.3,28.4,26.5
13.4851359,28.4,28.9,28.4,29.3,28.4,26.5
14.0804621,28.9,28.9,28.4,29.3,28.4,26.5
14.7558291,29.3,28.9,28.4,29.3,28.4,26.5
15.3823647,29.3,28.9,28.4,29.3,28.4,27
15.9908782,29.8,29.3,28.4,29.3,28.4,26.5
16.6316554,30.6,29.3,28.4,29.3,28.4,26.5
17.2214228,30.6,29.3,28.4,29.3,28.4,26.5
17.8054334,31.1,29.8,28.4,29.3,28.9,26.5
18.4220271,31.9,29.8,28.4,29.3,28.4,27
19.0195053,31.9,29.8,28.4,29.3,28.9,26.5
19.625292,32.7,30.2,28.4,29.3,28.9,26.5
20.2217277,33.1,30.2,28.4,29.3,28.4,26.5
20.8284577,33.5,30.2,28.9,29.3,28.9,26.5
21.4495452,34.3,30.6,28.4,29.3,28.9,26.5
22.0801426,35,30.6,28.4,29.3,28.9,26.5
22.6880108,35.4,30.6,28.9,29.3,28.9,26.5
23.288643,35.8,31.1,28.4,28.9,28.9,26.5
23.8821301,36.5,31.1,28.4,29.3,28.9,26.5
24.4927269,36.8,31.5,28.4,29.3,28.9,26.5
25.0886808,37.5,31.5,28.4,29.3,28.9,26.5
25.6890461,38.2,31.9,28.4,29.3,28.9,26.5
26.2705358,38.6,32.3,28.4,29.3,29.3,27
26.8971934,39.2,32.3,28.9,29.3,28.9,26.5
27.4803646,39.9,32.3,28.4,29.3,28.9,26.5
28.0676527,40.5,32.3,28.4,29.3,28.9,26.5
28.689877,40.9,32.7,28.4,29.3,28.9,26.5
29.3175071,41.5,33.1,28.4,29.3,28.9,26.5
29.9360087,42.1,33.1,28.4,29.3,29.3,26.5
30.517318,42.7,33.5,28.4,29.3,29.3,26.5
31.1091156,43.3,33.5,28.4,29.3,29.3,26.5
31.6903499,43.6,33.9,28.4,29.3,29.3,27
32.3291085,44.5,33.9,28.4,29.3,29.3,26.5
32.9528525,44.8,34.3,28.4,29.3,29.3,27
33.5903921,45.6,34.3,28.4,29.3,29.3,26.5
34.2050495,45.9,34.7,28.4,29.3,29.3,26.5
34.8032333,46.5,35,28.4,29.3,29.3,26.5
35.4066412,47,35,28.4,29.3,29.3,26.5
36.0016661,47.5,35.4,28.4,29.8,29.3,26.5
36.6288855,48.1,35.4,28.4,29.8,29.3,26.5
37.2258351,48.9,35.8,28.4,29.8,29.8,26.5
37.828105,49.4,35.8,28.4,29.3,29.8,26.5
38.441804,49.9,36.1,28.4,29.3,29.8,26.5
39.0511722,50.4,36.1,28.4,29.3,29.8,26.5
39.6750432,51.4,36.5,28.4,29.3,29.8,26.5
40.3677181,51.9,36.8,28.4,29.3,29.8,26.5
40.9838896,52.3,36.8,28.4,29.3,30.2,26.5
