Time_s,Top_C,Bottom_C,Capplate_C,Cylinder_C,Thermalbridge_C,Baseplate_C
0.3501244,26.5,26.5,27,27.5,25.5,26
0.9674119,26,26.5,26.5,27.5,26,26
1.5759084,26.5,26,27,27,25.5,26
2.2057357,26,26,27,27,25.5,26
2.8046416,26,26,26.5,27.5,26,26
3.4074476,26,26,26.5,27.5,26,26
4.0258947,26,26,27,27,26,26
4.6610651,26,26,27,27,25.5,26
5.2872529,26,26,27,27.5,25.5,26
5.9178094,26,26,26.5,27.5,26,26
6.5023655,26.5,26,27,27.5,25.5,26
7.0981574,26.5,26,27,27.5,25.5,26
7.7064842,26.5,26,27,27.5,25.5,26
8.3018995,26,26,27,27,26,25.5
8.8818193,26,26.5,27,27.5,26,26
9.4735572,26,26,26.5,27,26,26
10.0692128,26.5,26,27,27.5,25.5,26
10.6726538,26,26,27,27.5,25.5,26
11.2899556,26.5,26,27,27.5,25.5,26
11.9139693,26.5,26,27,27.5,25.5,26
12.5178015,26.5,25.5,26.5,27,26,26
13.1235502,26.5,26,27,27.5,26,26
13.7468717,26,26,27,27,25.5,26
14.3531472,26,26,27,27.5,26,26
14.9787762,26,26,27,27.5,25.5,26
15.6075124,26.5,26.5,27,27.5,26,26
16.2291164,26,26,27,27.5,26,26
16.8553388,26,26,27,27,26,26
17.4799288,26,26,27,27.5,26,26
18.0949753,26,26,26.5,27.5,26,26
18.688194,26.5,26,27,27.5,26,26
19.2707926,26,26,27,27.5,26,26
19.8807092,26,25.5,26.5,27.5,26,26
20.4988373,26,26,26.5,27.5,26,26
21.1078417,26.5,26,27,27.5,26,26
21.7146941,26,26,26.5,27.5,26,26
22.3274792,26,26,27,27.5,26,26
22.9913203,26.5,26.5,27,27.5,26,26
23.6078706,26.5,26,27,27.5,26,26
24.2262719,27,26.5,27,27.5,26,26
24.8527972,27,26,26.5,27.5,26,26
25.4725448,27,26.5,27,27.5,26,26
26.0870108,27.5,26,27,27,26,26
26.6780937,27,26.5,27,27.5,26,26
27.287703,27,26,26.5,27.5,26,26
27.8773722,27,26,26.5,27.5,26,25.5
28.4786392,27.5,27,27,27.5,26,26
29.0908546,28,26.5,26.5,27.5,26,26
29.7209646,28,26.5,27,27.5,26,26
30.3232897,28.4,26.5,27,27.5,26,26
30.9213292,28.4,27,27,27.5,26,26
31.5266563,28.4,27,27,27.5,26,25.5
32.1258346,28.4,27,27,27,26,26
32.7225826,28.9,27,27,27.5,26,26
33.3714276,28.9,27,27,27.5,26,26
33.9742611,28.9,27,27,27.5,26,26
34.5652923,29.3,27,26.5,27.5,26.5,25.5
35.1940106,29.3,27,27,27.5,26,26
35.8185597,29.3,27,27,27.5,26,26
36.4345469,29.3,27,27,27.5,26.5,26
37.0674801,29.3,27,27,27.5,26.5,26
37.6540955,29.3,27,27,27.5,26,26
38.3081425,29.3,27,26.5,27,26,26
38.9353769,29.3,27,26.5,27.5,26.5,26
39.5324932,28.9,27.5,26,27,26,26
40.1432315,29.8,27.5,27,27.5,26,26
40.7727888,29.3,27.5,27,27.5,26,26
41.390985,29.8,27.5,27,27.5,26.5,26
42.013131,29.3,27.5,27,27.5,26,25.5
42.5945086,29.3,27.5,26.5,27,26,26
43.2055671,29.8,27.5,26.5,27.5,26.5,26
43.7966121,29.8,27.5,26.5,27.5,26.5,26
44.4168897,29.8,27.5,27,27.5,26.5,26
45.0091021,29.8,27.5,26.5,27.5,26.5,26
45.6312669,29.8,27.5,27,27.5,26,26
46.2307439,29.8,27.5,26.5,27.5,26.5,26
46.8339426,29.8,27,26.5,27,26,26
47.4493932,29.3,27.5,27,27.5,26.5,26
48.0291081,29.8,27.5,26.5,27.5,26.5,26
48.6240553,29.8,27.5,26.5,27,26.5,26
49.2453425,29.8,27.5,26.5,27.5,26.5,26
49.8711125,29.8,27.5,27,27.5,26.5,26
50.4784269,29.8,27.5,26.5,27.5,26.5,26
51.0806898,29.8,27.5,27,27.5,26.5,26
51.683006,29.8,27.5,26.5,27.5,26.5,25.5
