Time_s,Top_C,Bottom_C,Capplate_C,Cylinder_C,Thermalbridge_C,Baseplate_C
0.0871212,28.4,32.7,29.8,31.9,32.3,28.9
0.685923,29.3,32.7,29.3,31.5,32.7,28.9
1.2999275,29.3,32.7,30.2,31.9,32.3,28.4
1.9027065,28.9,32.7,30.2,31.9,32.3,28.9
2.5154019,29.3,32.7,29.8,31.5,32.3,28.9
3.1199268,28,33.1,30.2,31.9,32.3,28.9
3.7411034,29.3,32.7,30.2,31.9,32.3,28.9
4.3688703,29.3,32.3,30.2,31.9,31.9,29.3
4.9475119,29.3,32.7,29.3,31.9,32.3,28.9
5.5559336,29.3,32.3,29.8,31.5,32.3,28.9
6.1830169,29.3,32.7,30.2,31.5,32.3,28.9
6.8058618,29.3,32.7,30.2,31.9,32.7,28.9
7.3959175,28,32.3,29.8,31.5,32.3,28.9
8.0076831,28.4,32.7,29.8,31.5,32.3,28.9
8.6186768,28.4,32.7,29.8,31.5,31.9,28.9
9.2191183,29.3,32.3,29.8,31.5,31.9,28.9
9.8262929,28.4,32.3,29.8,31.5,32.3,28.9
10.4252336,29.3,32.7,29.8,31.5,31.9,29.3
11.0238699,29.3,32.7,30.2,31.5,31.9,28.9
11.6301865,29.3,32.7,29.8,30.2,31.9,28.9
12.2539946,28.9,32.7,30.2,31.5,31.9,28.9
12.8781585,29.3,32.7,29.3,31.9,31.9,29.3
13.4668354,29.3,32.7,30.2,31.5,31.9,28.9
14.0783295,29.8,32.7,29.3,31.9,31.9,28.9
14.7022044,29.3,32.3,30.2,31.5,31.9,28.9
15.3326355,29.3,33.1,30.2,31.5,31.9,28.9
15.9687017,29.8,32.7,29.8,31.1,31.5,29.3
16.5987658,29.8,32.7,30.2,31.5,31.9,28.9
17.1734719,29.8,32.7,30.2,31.5,31.9,28.9
17.8589362,30.2,32.3,30.2,31.5,31.9,28.9
18.4787563,30.6,32.7,30.2,31.5,31.5,28.9
19.1048577,30.6,33.1,29.8,30.6,31.9,28.9
19.7057397,31.1,33.1,29.8,31.5,31.9,28.4
20.3064081,31.1,33.5,30.2,31.5,31.5,28.9
20.9058763,31.1,33.5,29.3,31.5,31.9,29.3
21.5325306,31.1,33.5,30.2,31.5,31.9,29.3
22.1404975,31.5,33.9,30.2,31.9,31.5,28.9
22.7399975,32.3,34.3,30.2,31.5,31.5,28.9
23.3403174,32.3,33.9,29.8,31.5,31.1,28.4
23.9600131,32.3,34.3,30.2,31.1,31.5,29.3
24.5798327,32.3,34.3,29.8,31.5,31.9,28.9
25.1666259,32.7,33.9,30.2,31.5,31.9,28.9
25.7828239,33.5,34.7,29.8,31.5,31.9,28.9
26.4010509,32.7,34.3,29.8,31.5,31.9,28.9
27.0018422,33.9,35,29.8,31.5,31.9,28.9
27.6286578,33.9,35.8,29.8,31.5,31.5,28.9
28.2283913,34.7,35.4,29.8,31.5,31.5,28.4
