% Moku:Go Data Logger
% Input 1 (on), DC , 1 MOhm , 10 Vpp
% Input 2 (off), DC , 1 MOhm , 10 Vpp
% Acquisition rate: 1.0000000000e+02 Hz, Precision mode
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2025-09-24 T 12:02:14 +1000
% Time (s), Input 1 (V)
0.0000000000e+00, 1.0732000753e+00
1.0000000000e-02, 1.0732228677e+00
2.0000000000e-02, 1.0731342932e+00
3.0000000000e-02, 1.0730227074e+00
4.0000000000e-02, 1.0732054842e+00
5.0000000000e-02, 1.0731506762e+00
6.0000000000e-02, 1.0730583498e+00
7.0000000000e-02, 1.0731440479e+00
8.0000000000e-02, 1.0732551022e+00
9.0000000000e-02, 1.0730245208e+00
1.0000000000e-01, 1.0732034832e+00
1.1000000000e-01, 1.0732692341e+00
1.2000000000e-01, 1.0731511451e+00
1.3000000000e-01, 1.0731827231e+00
1.4000000000e-01, 1.0731781896e+00
1.5000000000e-01, 1.0730201437e+00
1.6000000000e-01, 1.0730283352e+00
1.7000000000e-01, 1.0730384339e+00
1.8000000000e-01, 1.0734968452e+00
1.9000000000e-01, 1.0734246537e+00
2.0000000000e-01, 1.0731916337e+00
2.1000000000e-01, 1.0735205130e+00
2.2000000000e-01, 1.0734685501e+00
2.3000000000e-01, 1.0734667367e+00
2.4000000000e-01, 1.0732104241e+00
2.5000000000e-01, 1.0731138144e+00
2.6000000000e-01, 1.0731480499e+00
2.7000000000e-01, 1.0728564387e+00
2.8000000000e-01, 1.0729645853e+00
2.9000000000e-01, 1.0730829869e+00
3.0000000000e-01, 1.0730848003e+00
3.1000000000e-01, 1.0729055252e+00
3.2000000000e-01, 1.0732728921e+00
3.3000000000e-01, 1.0733746293e+00
3.4000000000e-01, 1.0732262443e+00
3.5000000000e-01, 1.0733281691e+00
3.6000000000e-01, 1.0730003528e+00
3.7000000000e-01, 1.0731862248e+00
3.8000000000e-01, 1.0731374510e+00
3.9000000000e-01, 1.0729326635e+00
4.0000000000e-01, 1.0731829419e+00
4.1000000000e-01, 1.0733103791e+00
4.2000000000e-01, 1.0732904006e+00
4.3000000000e-01, 1.0730634773e+00
4.4000000000e-01, 1.0731500196e+00
4.5000000000e-01, 1.0730695428e+00
4.6000000000e-01, 1.0730546605e+00
4.7000000000e-01, 1.0728757919e+00
4.8000000000e-01, 1.0728172008e+00
4.9000000000e-01, 1.0732876493e+00
5.0000000000e-01, 1.0731862248e+00
5.1000000000e-01, 1.0733463967e+00
5.2000000000e-01, 1.0729472643e+00
5.3000000000e-01, 1.0731515829e+00
5.4000000000e-01, 1.0728889859e+00
5.5000000000e-01, 1.0728169820e+00
5.6000000000e-01, 1.0728620040e+00
5.7000000000e-01, 1.0730037919e+00
5.8000000000e-01, 1.0729965071e+00
5.9000000000e-01, 1.0732450035e+00
6.0000000000e-01, 1.0730370582e+00
6.1000000000e-01, 1.0730655408e+00
6.2000000000e-01, 1.0728630045e+00
6.3000000000e-01, 1.0732945277e+00
6.4000000000e-01, 1.0732877118e+00
6.5000000000e-01, 1.0732220548e+00
6.6000000000e-01, 1.0732194598e+00
6.7000000000e-01, 1.0732535389e+00
6.8000000000e-01, 1.0732946527e+00
6.9000000000e-01, 1.0732098926e+00
7.0000000000e-01, 1.0729794676e+00
7.1000000000e-01, 1.0731592116e+00
7.2000000000e-01, 1.0730327748e+00
7.3000000000e-01, 1.0731600245e+00
7.4000000000e-01, 1.0733570269e+00
7.5000000000e-01, 1.0733927319e+00
7.6000000000e-01, 1.0733666879e+00
7.7000000000e-01, 1.0731440792e+00
7.8000000000e-01, 1.0734178691e+00
7.9000000000e-01, 1.0730888960e+00
8.0000000000e-01, 1.0734494783e+00
8.1000000000e-01, 1.0730830181e+00
8.2000000000e-01, 1.0731888511e+00
8.3000000000e-01, 1.0732179278e+00
8.4000000000e-01, 1.0731227875e+00
8.5000000000e-01, 1.0731623068e+00
8.6000000000e-01, 1.0732091422e+00
8.7000000000e-01, 1.0730780470e+00
8.8000000000e-01, 1.0729652419e+00
8.9000000000e-01, 1.0730939297e+00
9.0000000000e-01, 1.0730000714e+00
9.1000000000e-01, 1.0731393894e+00
9.2000000000e-01, 1.0731146273e+00
9.3000000000e-01, 1.0731125013e+00
9.4000000000e-01, 1.0731539590e+00
9.5000000000e-01, 1.0731999815e+00
9.6000000000e-01, 1.0731531774e+00
9.7000000000e-01, 1.0730457499e+00
9.8000000000e-01, 1.0730486576e+00
9.9000000000e-01, 1.0733250738e+00
1.0000000000e+00, 1.0733670943e+00
1.0100000000e+00, 1.0733148188e+00
1.0200000000e+00, 1.0730137656e+00
1.0300000000e+00, 1.0732248374e+00
1.0400000000e+00, 1.0732429400e+00
